,transcription,action,object,location
49,Make the music louder,increase,volume,none
50,Bring shoes,bring,shoes,none
51,Switch off the washroom lights,deactivate,lights,washroom
52,Turn the bedroom heat up,increase,heat,bedroom
53,Louder phone,increase,volume,none
54,Switch off the lights in the kitchen,deactivate,lights,kitchen
55,"It’s too loud, turn the volume down",decrease,volume,none
56,Make it louder,increase,volume,none
57,Lights on in the bathroom,activate,lights,washroom
58,Turn up the heat in the washroom,increase,heat,washroom
59,Change language,change language,none,none
60,Turn off the lights,deactivate,lights,none
61,Louder,increase,volume,none
62,Change the language,change language,none,none
63,Switch the language,change language,none,none
64,Turn off the music,deactivate,music,none
65,Turn sound down,decrease,volume,none
66,Bring the newspaper,bring,newspaper,none
67,Turn up the temperature in the kitchen,increase,heat,kitchen
68,Turn the kitchen temperature up,increase,heat,kitchen
69,Kitchen lights off,deactivate,lights,kitchen
70,Turn down the heat in the bathroom,decrease,heat,washroom
71,Turn the temperature down,decrease,heat,none
72,Get me my shoes,bring,shoes,none
73,Go get me my shoes,bring,shoes,none
74,Bring the newspaper,bring,newspaper,none
75,Switch the lights off in the kitchen,deactivate,lights,kitchen
76,Turn the lights on,activate,lights,none
77,Turn off the music,deactivate,music,none
78,Lights off in the washroom,deactivate,lights,washroom
79,Turn down the temperature in the bedroom,decrease,heat,bedroom
80,"It’s too loud, turn the volume down",decrease,volume,none
81,Volume lower,decrease,volume,none
82,Increase the heating in the bathroom,increase,heat,washroom
83,Turn on the bathroom lights,activate,lights,washroom
84,Decrease the temperature in the kitchen,decrease,heat,kitchen
85,Increase the heating in the bathroom,increase,heat,washroom
86,Switch off the lamp,deactivate,lamp,none
87,Turn the lights on,activate,lights,none
88,Decrease the temperature in the washroom,decrease,heat,washroom
89,OK now switch the main language to English,change language,English,none
90,Bathroom lights on,activate,lights,washroom
91,Could you decrease the heating?,decrease,heat,none
92,Kitchen heat up,increase,heat,kitchen
93,I need to practice my Korean. Switch the language,change language,Korean,none
94,Set language to Korean,change language,Korean,none
95,Turn on the washroom lights,activate,lights,washroom
96,Turn the heat up,increase,heat,none
97,Washroom lights on,activate,lights,washroom
98,Switch off the washroom lights,deactivate,lights,washroom
99,Go get me my socks,bring,socks,none
100,Switch on the kitchen lights,activate,lights,kitchen
101,Turn sound down,decrease,volume,none
102,Turn the bedroom heat down,decrease,heat,bedroom
103,Far too loud,decrease,volume,none
104,Volume max,increase,volume,none
105,Turn down the heat,decrease,heat,none
106,Turn the temperature up in the bathroom,increase,heat,washroom
107,Decrease the volume,decrease,volume,none
108,Louder phone,increase,volume,none
109,Turn up the washroom temperature,increase,heat,washroom
110,Bring me some juice,bring,juice,none
111,Decrease the temperature in the washroom,decrease,heat,washroom
112,Decrease the heating in the bathroom,decrease,heat,washroom
113,Turn volume down,decrease,volume,none
114,Less heat,decrease,heat,none
115,Switch on the lights,activate,lights,none
116,Switch on the lights in the kitchen,activate,lights,kitchen
117,Get me some juice,bring,juice,none
118,Could you increase the heating please?,increase,heat,none
119,"It’s too loud, turn the volume down",decrease,volume,none
120,Turn the bathroom lights on,activate,lights,washroom
121,Turn the temperature down in the washroom,decrease,heat,washroom
122,Set my device to Chinese,change language,Chinese,none
123,Heat down,decrease,heat,none
124,Increase the heating in the kitchen,increase,heat,kitchen
125,Heat up,increase,heat,none
126,Switch on the lights,activate,lights,none
127,Turn up the temperature in the kitchen,increase,heat,kitchen
128,Bedroom lights off,deactivate,lights,bedroom
129,Decrease the heating in the kitchen,decrease,heat,kitchen
130,Turn the sound up,increase,volume,none
131,Put on the music,activate,music,none
132,Turn up the temperature in the bedroom,increase,heat,bedroom
133,Decrease the temperature,decrease,heat,none
134,I need to practice my Chinese. Switch the language,change language,Chinese,none
135,Increase the heating in the washroom,increase,heat,washroom
136,Switch off the lamp,deactivate,lamp,none
137,Volume lower,decrease,volume,none
138,Volume down,decrease,volume,none
139,Turn the bedroom heat up,increase,heat,bedroom
140,Switch the lights off in the kitchen,deactivate,lights,kitchen
141,Lights on in the bedroom,activate,lights,bedroom
142,Turn the kitchen temperature down,decrease,heat,kitchen
143,Switch the kitchen lights on,activate,lights,kitchen
144,Change the language,change language,none,none
145,Turn down the heat in the kitchen,decrease,heat,kitchen
146,Far too loud,decrease,volume,none
147,Turn the kitchen temperature up,increase,heat,kitchen
148,Turn the volume up,increase,volume,none
149,Increase the heating,increase,heat,none
150,I can't hear that,increase,volume,none
151,Bring shoes,bring,shoes,none
152,Kitchen heat down,decrease,heat,kitchen
153,Switch off the lamp,deactivate,lamp,none
154,Washroom heat up,increase,heat,washroom
155,Washroom lights on,activate,lights,washroom
156,Bring juice,bring,juice,none
157,Set the language,change language,none,none
158,Increase the volume,increase,volume,none
159,Lights on in the kitchen,activate,lights,kitchen
160,Turn the temperature down in the washroom,decrease,heat,washroom
161,Turn down the heat in the bathroom,decrease,heat,washroom
162,Kitchen lights off,deactivate,lights,kitchen
163,Bedroom lights off,deactivate,lights,bedroom
164,Switch the lights on,activate,lights,none
165,Turn off the lights in the bedroom,deactivate,lights,bedroom
166,Increase the heating in the bedroom,increase,heat,bedroom
167,Decrease the temperature in the kitchen,decrease,heat,kitchen
168,Kitchen lights on,activate,lights,kitchen
169,Turn down the heat in the kitchen,decrease,heat,kitchen
170,Get me some juice,bring,juice,none
171,Turn on the lamp,activate,lamp,none
172,Bathroom lights on,activate,lights,washroom
173,Turn the volume up,increase,volume,none
174,Switch off the lights,deactivate,lights,none
175,Turn on the kitchen lights,activate,lights,kitchen
176,"This video sound is too low, turn up the volume",increase,volume,none
177,Switch on the bathroom lights,activate,lights,washroom
178,Play music,activate,music,none
179,Switch on the kitchen lights,activate,lights,kitchen
180,Turn the heat down in the kitchen,decrease,heat,kitchen
181,Go get me my shoes,bring,shoes,none
182,Turn the volume down,decrease,volume,none
183,Kitchen lights off,deactivate,lights,kitchen
184,Decrease the volume,decrease,volume,none
185,I need to practice my English. Switch the language,change language,English,none
186,Turn volume down,decrease,volume,none
187,Decrease the temperature in the kitchen,decrease,heat,kitchen
188,Turn the bedroom heat down,decrease,heat,bedroom
189,Decrease audio volume,decrease,volume,none
190,Turn the heat down in the washroom,decrease,heat,washroom
191,Make it quieter,decrease,volume,none
192,Switch the language,change language,none,none
193,Could you increase the heating please?,increase,heat,none
194,Change system language,change language,none,none
195,Turn the bedroom heat down,decrease,heat,bedroom
196,Increase the volume,increase,volume,none
197,Could you decrease the heating?,decrease,heat,none
198,Turn volume up,increase,volume,none
199,Turn up the washroom temperature,increase,heat,washroom
200,Switch off the lights,deactivate,lights,none
201,Increase the temperature in the washroom,increase,heat,washroom
202,Get me my shoes,bring,shoes,none
203,Switch languages,change language,none,none
204,Switch languages,change language,none,none
205,Turn the temperature in the bedroom down,decrease,heat,bedroom
206,Far too quiet,increase,volume,none
207,Increase the sound,increase,volume,none
208,Far too loud,decrease,volume,none
209,Turn up the bathroom temperature,increase,heat,washroom
210,Turn sound down,decrease,volume,none
211,Turn the kitchen lights on,activate,lights,kitchen
212,Turn the temperature up in the washroom,increase,heat,washroom
213,Increase the volume,increase,volume,none
214,Turn up the volume,increase,volume,none
215,Too loud,decrease,volume,none
216,Louder,increase,volume,none
217,Resume music,activate,music,none
218,Lights off in the bedroom,deactivate,lights,bedroom
219,Turn down the heat in the washroom,decrease,heat,washroom
220,Turn down the heat in the bathroom,decrease,heat,washroom
221,Make it louder,increase,volume,none
222,Go get me my socks,bring,socks,none
223,Turn sound down,decrease,volume,none
224,Increase the temperature in the bedroom,increase,heat,bedroom
225,Turn up the temperature in the bedroom,increase,heat,bedroom
226,Bathroom heat down,decrease,heat,washroom
227,Turn it down,decrease,volume,none
228,Washroom lights on,activate,lights,washroom
229,Turn the heat up,increase,heat,none
230,Lights off in the washroom,deactivate,lights,washroom
231,Increase the temperature in the kitchen,increase,heat,kitchen
232,Switch the bedroom lights off,deactivate,lights,bedroom
233,Bring me the newspaper,bring,newspaper,none
234,Switch the language,change language,none,none
235,Turn the lights off in the kitchen,deactivate,lights,kitchen
236,Make it quieter,decrease,volume,none
237,Turn on the lights in the bedroom,activate,lights,bedroom
238,Decrease audio volume,decrease,volume,none
239,Use a different language,change language,none,none
240,Volume max,increase,volume,none
241,Decrease the heating in the bathroom,decrease,heat,washroom
242,Turn the heat up in the washroom,increase,heat,washroom
243,Volume mute,decrease,volume,none
244,OK now switch the main language to Korean,change language,Korean,none
245,Decrease the temperature in the bathroom,decrease,heat,washroom
246,Lights off,deactivate,lights,none
247,Switch the language,change language,none,none
248,Make it hotter,increase,heat,none
249,Increase the heating in the bathroom,increase,heat,washroom
250,Get me the newspaper,bring,newspaper,none
251,Turn on the kitchen lights,activate,lights,kitchen
252,Turn the lamp on,activate,lamp,none
253,Decrease the heating in the bedroom,decrease,heat,bedroom
254,Turn the bedroom lights off,deactivate,lights,bedroom
255,Too loud,decrease,volume,none
256,Could you decrease the heating please?,decrease,heat,none
257,Too quiet,increase,volume,none
258,Pause,deactivate,music,none
259,Increase the temperature in the bedroom,increase,heat,bedroom
260,Resume,activate,music,none
261,Bring me the newspaper,bring,newspaper,none
262,Kitchen lights on,activate,lights,kitchen
263,Get me my socks,bring,socks,none
264,Turn off the kitchen lights,deactivate,lights,kitchen
265,Could you increase the heating please?,increase,heat,none
266,Set the language,change language,none,none
267,Play the music,activate,music,none
268,Turn up the heat in the bathroom,increase,heat,washroom
269,Bathroom heat down,decrease,heat,washroom
270,Increase the volume,increase,volume,none
271,Lower the volume,decrease,volume,none
272,Could you increase the heating please?,increase,heat,none
273,Bring shoes,bring,shoes,none
274,Set language to Chinese,change language,Chinese,none
275,Lights on in the kitchen,activate,lights,kitchen
276,Turn on the lamp,activate,lamp,none
277,Pause the music,deactivate,music,none
278,Switch off the washroom lights,deactivate,lights,washroom
279,Turn the temperature down in the washroom,decrease,heat,washroom
280,Decrease the heating in the bathroom,decrease,heat,washroom
281,Switch off the lamp,deactivate,lamp,none
282,Turn the washroom lights off,deactivate,lights,washroom
283,Turn the bedroom lights off,deactivate,lights,bedroom
284,Decrease sound levels,decrease,volume,none
285,Lights off,deactivate,lights,none
286,I can't hear that,increase,volume,none
287,Set language to English,change language,English,none
288,Lower the volume,decrease,volume,none
289,I need to practice my Chinese. Switch the language,change language,Chinese,none
290,Bring some juice,bring,juice,none
291,Turn the heat up in the bathroom,increase,heat,washroom
292,Lights on in the washroom,activate,lights,washroom
293,Turn up the washroom temperature,increase,heat,washroom
294,Decrease the heating in the kitchen,decrease,heat,kitchen
295,Turn down the temperature,decrease,heat,none
296,Set my phone's language to German,change language,German,none
297,Bring some juice,bring,juice,none
298,Start the music,activate,music,none
299,Language settings,change language,none,none
300,Set language to Korean,change language,Korean,none
301,Kitchen lights off,deactivate,lights,kitchen
302,Bathroom heat up,increase,heat,washroom
303,Bedroom heat down,decrease,heat,bedroom
304,Bedroom lights on,activate,lights,bedroom
305,Turn the volume down,decrease,volume,none
306,Bring me my socks,bring,socks,none
307,Get me my shoes,bring,shoes,none
308,Turn the heat down in the kitchen,decrease,heat,kitchen
309,Turn the volume up,increase,volume,none
310,Turn down the bathroom temperature,decrease,heat,washroom
311,Turn up the temperature in the bedroom,increase,heat,bedroom
312,Turn the lights on in the kitchen,activate,lights,kitchen
313,Decrease the temperature in the washroom,decrease,heat,washroom
314,Fetch my shoes,bring,shoes,none
315,Decrease the heating in the washroom,decrease,heat,washroom
316,Switch the lights off in the kitchen,deactivate,lights,kitchen
317,Bedroom heat down,decrease,heat,bedroom
318,OK now switch the main language to Korean,change language,Korean,none
319,Bedroom heat down,decrease,heat,bedroom
320,Turn up the washroom temperature,increase,heat,washroom
321,Resume,activate,music,none
322,Stop,deactivate,music,none
323,Turn the temperature up in the washroom,increase,heat,washroom
324,Far too loud,decrease,volume,none
325,Set language to English,change language,English,none
326,Turn on the bathroom lights,activate,lights,washroom
327,Turn the bathroom lights on,activate,lights,washroom
328,Switch off the lights in the bedroom,deactivate,lights,bedroom
329,Switch off the washroom lights,deactivate,lights,washroom
330,Louder phone,increase,volume,none
331,Turn down the bedroom heat,decrease,heat,bedroom
332,Bedroom heat down,decrease,heat,bedroom
333,Switch on the lamp,activate,lamp,none
334,Switch the language,change language,none,none
335,Increase the temperature,increase,heat,none
336,Increase the heating in the bathroom,increase,heat,washroom
337,Turn the bedroom lights on,activate,lights,bedroom
338,Bring socks,bring,socks,none
339,Increase the temperature in the kitchen,increase,heat,kitchen
340,Play the music,activate,music,none
341,Kitchen heat up,increase,heat,kitchen
342,Lights on,activate,lights,none
343,"I need to hear this, increase the volume",increase,volume,none
344,Louder phone,increase,volume,none
345,Switch the lights off,deactivate,lights,none
346,Turn the lights off in the kitchen,deactivate,lights,kitchen
347,Turn the temperature in the bedroom down,decrease,heat,bedroom
348,Switch on the bathroom lights,activate,lights,washroom
349,Set language to Chinese,change language,Chinese,none
350,Turn up the bathroom temperature,increase,heat,washroom
351,Too quiet,increase,volume,none
352,Get me the newspaper,bring,newspaper,none
353,Bathroom heat down,decrease,heat,washroom
354,Turn down the heat in the washroom,decrease,heat,washroom
355,Bring me my shoes,bring,shoes,none
356,Bedroom heat up,increase,heat,bedroom
357,Go get the newspaper,bring,newspaper,none
358,Turn the kitchen temperature up,increase,heat,kitchen
359,Get me my socks,bring,socks,none
360,Turn the bedroom lights on,activate,lights,bedroom
361,Make it quieter,decrease,volume,none
362,Make the music softer,decrease,volume,none
363,Make it quieter,decrease,volume,none
364,Switch the bedroom lights on,activate,lights,bedroom
365,Switch the bedroom lights on,activate,lights,bedroom
366,Bedroom heat up,increase,heat,bedroom
367,Turn down the heat in the kitchen,decrease,heat,kitchen
368,Decrease the temperature in the bedroom,decrease,heat,bedroom
369,I need to practice my German. Switch the language,change language,German,none
370,Increase the heating in the washroom,increase,heat,washroom
371,Increase the temperature in the washroom,increase,heat,washroom
372,Turn the temperature up in the washroom,increase,heat,washroom
373,Make the music louder,increase,volume,none
374,Turn the heat up,increase,heat,none
375,Switch on the washroom lights,activate,lights,washroom
376,Louder,increase,volume,none
377,Lamp off,deactivate,lamp,none
378,Could you decrease the heating?,decrease,heat,none
379,Increase the temperature in the washroom,increase,heat,washroom
380,Set language to Korean,change language,Korean,none
381,I need to practice my English. Switch the language,change language,English,none
382,Turn down the heat in the washroom,decrease,heat,washroom
383,Switch language,change language,none,none
384,Decrease the temperature in the kitchen,decrease,heat,kitchen
385,Switch the lights off in the kitchen,deactivate,lights,kitchen
386,Turn down the washroom temperature,decrease,heat,washroom
387,"It’s too loud, turn the volume down",decrease,volume,none
388,Turn off the lamp,deactivate,lamp,none
389,Go get me my shoes,bring,shoes,none
390,Set my phone's language to English,change language,English,none
391,Turn down the heat in the bathroom,decrease,heat,washroom
392,Put on the music,activate,music,none
393,Set my phone's language to English,change language,English,none
394,Increase the temperature in the kitchen,increase,heat,kitchen
395,Turn the bedroom lights off,deactivate,lights,bedroom
396,Bathroom lights on,activate,lights,washroom
397,Lights on,activate,lights,none
398,Turn up the washroom temperature,increase,heat,washroom
399,Turn down the volume,decrease,volume,none
400,Increase the temperature in the kitchen,increase,heat,kitchen
401,Heat up,increase,heat,none
402,Turn off the lights in the bedroom,deactivate,lights,bedroom
403,Turn the lamp on,activate,lamp,none
404,Set language to German,change language,German,none
405,Change system language,change language,none,none
406,Turn the temperature up,increase,heat,none
407,Turn up the temperature,increase,heat,none
408,Bedroom heat down,decrease,heat,bedroom
409,Make it quieter,decrease,volume,none
410,Bring me the newspaper,bring,newspaper,none
411,Bathroom heat up,increase,heat,washroom
412,Use a different language,change language,none,none
413,Switch on the kitchen lights,activate,lights,kitchen
414,Make the music louder,increase,volume,none
415,Turn the heat down,decrease,heat,none
416,Lower the volume,decrease,volume,none
417,Turn down the temperature,decrease,heat,none
418,Could you increase the heating?,increase,heat,none
419,Turn the temperature in the bedroom up,increase,heat,bedroom
420,Get me my shoes,bring,shoes,none
421,Increase the volume,increase,volume,none
422,Bathroom heat down,decrease,heat,washroom
423,Could you decrease the heating please?,decrease,heat,none
424,Switch the bedroom lights off,deactivate,lights,bedroom
425,I need to practice my English. Switch the language,change language,English,none
426,Change language,change language,none,none
427,I need to practice my English. Switch the language,change language,English,none
428,Turn the volume up,increase,volume,none
429,Make the music louder,increase,volume,none
430,That’s too loud,decrease,volume,none
431,Turn the temperature down in the bathroom,decrease,heat,washroom
432,Decrease the heating in the washroom,decrease,heat,washroom
433,Change language,change language,none,none
434,Turn on the kitchen lights,activate,lights,kitchen
435,Play music,activate,music,none
436,I need to practice my German. Switch the language,change language,German,none
437,Turn on the lamp,activate,lamp,none
438,Turn on the bathroom lights,activate,lights,washroom
439,Turn up the bathroom temperature,increase,heat,washroom
440,Stop the music,deactivate,music,none
441,Turn down the temperature in the kitchen,decrease,heat,kitchen
442,Bring the newspaper,bring,newspaper,none
443,Stop music,deactivate,music,none
444,Volume max,increase,volume,none
445,Decrease the heating in the washroom,decrease,heat,washroom
446,OK now switch the main language to Korean,change language,Korean,none
447,Fetch my socks,bring,socks,none
448,Too loud,decrease,volume,none
449,Switch the bedroom lights on,activate,lights,bedroom
450,Turn down the heat in the kitchen,decrease,heat,kitchen
451,Lights off in the kitchen,deactivate,lights,kitchen
452,"It’s too loud, turn the volume down",decrease,volume,none
453,More heat,increase,heat,none
454,Lights on in the kitchen,activate,lights,kitchen
455,Louder please,increase,volume,none
456,Bring me my shoes,bring,shoes,none
457,Turn the volume up,increase,volume,none
458,Could you decrease the heating?,decrease,heat,none
459,Increase the temperature in the bedroom,increase,heat,bedroom
460,Far too loud,decrease,volume,none
461,Turn off the lights in the bedroom,deactivate,lights,bedroom
462,Turn down the temperature,decrease,heat,none
463,Bedroom lights off,deactivate,lights,bedroom
464,Turn on the bathroom lights,activate,lights,washroom
465,Bathroom heat up,increase,heat,washroom
466,Turn off the music,deactivate,music,none
467,Set the language,change language,none,none
468,Turn off the kitchen lights,deactivate,lights,kitchen
469,Increase the heating in the kitchen,increase,heat,kitchen
470,Volume mute,decrease,volume,none
471,Reduce audio volume,decrease,volume,none
472,Lights on in the bedroom,activate,lights,bedroom
473,Turn the washroom lights off,deactivate,lights,washroom
474,Turn off the lamp,deactivate,lamp,none
475,Increase the sound volume,increase,volume,none
476,Turn on the washroom lights,activate,lights,washroom
477,Turn the temperature down in the washroom,decrease,heat,washroom
478,Switch the kitchen lights on,activate,lights,kitchen
479,Set my phone's language to English,change language,English,none
480,Lights off,deactivate,lights,none
481,I need to practice my English. Switch the language,change language,English,none
482,Kitchen lights off,deactivate,lights,kitchen
483,Increase the temperature in the bathroom,increase,heat,washroom
484,More heat,increase,heat,none
485,Stop the music,deactivate,music,none
486,Turn down the temperature in the kitchen,decrease,heat,kitchen
487,Bathroom heat down,decrease,heat,washroom
488,Turn up the volume,increase,volume,none
489,Turn the heat up,increase,heat,none
490,Switch off the lamp,deactivate,lamp,none
491,Turn on the lights in the bedroom,activate,lights,bedroom
492,Stop,deactivate,music,none
493,Bring shoes,bring,shoes,none
494,Lamp off,deactivate,lamp,none
495,Turn up the temperature,increase,heat,none
496,Too quiet,increase,volume,none
497,Bedroom lights off,deactivate,lights,bedroom
498,Set my phone's language to English,change language,English,none
499,Turn up the temperature,increase,heat,none
500,Go get the newspaper,bring,newspaper,none
501,"It’s too loud, turn the volume down",decrease,volume,none
502,Go get me some juice,bring,juice,none
503,Turn the temperature down in the washroom,decrease,heat,washroom
504,More heat,increase,heat,none
505,Bring me my shoes,bring,shoes,none
506,Turn down the temperature in the kitchen,decrease,heat,kitchen
507,"It’s too loud, turn it down",decrease,volume,none
508,Turn the heat down in the kitchen,decrease,heat,kitchen
509,Turn the temperature up in the bathroom,increase,heat,washroom
510,Turn the heat up in the bathroom,increase,heat,washroom
511,Switch off the lights,deactivate,lights,none
512,Make the music softer,decrease,volume,none
513,Switch the kitchen lights on,activate,lights,kitchen
514,Language settings,change language,none,none
515,Could you increase the heating?,increase,heat,none
516,Increase the temperature in the kitchen,increase,heat,kitchen
517,Turn the kitchen temperature down,decrease,heat,kitchen
518,Turn the sound up,increase,volume,none
519,Bring me some juice,bring,juice,none
520,Stop the music,deactivate,music,none
521,Make the music louder,increase,volume,none
522,Volume up,increase,volume,none
523,Turn down the heat in the bathroom,decrease,heat,washroom
524,Switch languages,change language,none,none
525,Increase the heating in the kitchen,increase,heat,kitchen
526,Decrease audio volume,decrease,volume,none
527,Set language to Korean,change language,Korean,none
528,Lights off in the bedroom,deactivate,lights,bedroom
529,Could you decrease the heating please?,decrease,heat,none
530,Turn sound down,decrease,volume,none
531,Turn up the bedroom heat,increase,heat,bedroom
532,Decrease the heating in the bathroom,decrease,heat,washroom
533,Allow a different language,change language,none,none
534,Turn on the lights,activate,lights,none
535,That's too quiet,increase,volume,none
536,Increase the heating in the bedroom,increase,heat,bedroom
537,Turn up the heat,increase,heat,none
538,Increase the heating in the bedroom,increase,heat,bedroom
539,Decrease the heating in the kitchen,decrease,heat,kitchen
540,Lights on in the washroom,activate,lights,washroom
541,Switch on the kitchen lights,activate,lights,kitchen
542,Make the music softer,decrease,volume,none
543,Pause the music,deactivate,music,none
544,Bring my socks,bring,socks,none
545,Turn the temperature up in the washroom,increase,heat,washroom
546,Go get me my shoes,bring,shoes,none
547,Kitchen heat up,increase,heat,kitchen
548,Decrease the heating,decrease,heat,none
549,Decrease volume,decrease,volume,none
550,Pause,deactivate,music,none
551,Switch off the lights,deactivate,lights,none
552,Turn on the bathroom lights,activate,lights,washroom
553,Go get me my socks,bring,socks,none
554,Lights on in the kitchen,activate,lights,kitchen
555,Turn up the heat in the washroom,increase,heat,washroom
556,Lights on in the washroom,activate,lights,washroom
557,Turn the heat down in the bathroom,decrease,heat,washroom
558,Washroom lights off,deactivate,lights,washroom
559,Turn the lights off,deactivate,lights,none
560,Go get the newspaper,bring,newspaper,none
561,Heat down,decrease,heat,none
562,Turn the heat down in the kitchen,decrease,heat,kitchen
563,Turn up the temperature,increase,heat,none
564,Increase the temperature in the washroom,increase,heat,washroom
565,Fetch my shoes,bring,shoes,none
566,Turn the lamp off,deactivate,lamp,none
567,Lights on in the kitchen,activate,lights,kitchen
568,Go get me my shoes,bring,shoes,none
569,Switch on the lights,activate,lights,none
570,Stop music,deactivate,music,none
571,Resume music,activate,music,none
572,Stop music,deactivate,music,none
573,Set my phone's language to German,change language,German,none
574,Increase the temperature in the bathroom,increase,heat,washroom
575,Change system language,change language,none,none
576,Turn up the temperature in the bedroom,increase,heat,bedroom
577,Turn down the washroom temperature,decrease,heat,washroom
578,Switch on the lights in the kitchen,activate,lights,kitchen
579,Turn the washroom lights on,activate,lights,washroom
580,Switch the bedroom lights off,deactivate,lights,bedroom
581,Get me my socks,bring,socks,none
582,Stop,deactivate,music,none
583,Put on the music,activate,music,none
584,Turn up the washroom temperature,increase,heat,washroom
585,Increase the heating in the kitchen,increase,heat,kitchen
586,Get me some juice,bring,juice,none
587,I need to practice my Korean. Switch the language,change language,Korean,none
588,Bring me the newspaper,bring,newspaper,none
589,Kitchen heat up,increase,heat,kitchen
590,Turn the volume up,increase,volume,none
591,Turn the bedroom heat down,decrease,heat,bedroom
592,Switch the kitchen lights on,activate,lights,kitchen
593,Go get me my shoes,bring,shoes,none
594,Stop music,deactivate,music,none
595,Set language to German,change language,German,none
596,Increase the temperature,increase,heat,none
597,Play the music,activate,music,none
598,Lights on,activate,lights,none
599,Turn up the heat in the washroom,increase,heat,washroom
600,Pause the music,deactivate,music,none
601,Get me the newspaper,bring,newspaper,none
602,Get me some juice,bring,juice,none
603,Make the music louder,increase,volume,none
604,Turn up the heat,increase,heat,none
605,Lights on in the bathroom,activate,lights,washroom
606,Switch off the washroom lights,deactivate,lights,washroom
607,Turn sound down,decrease,volume,none
608,Change language,change language,none,none
609,Make the music softer,decrease,volume,none
610,Increase the temperature in the bathroom,increase,heat,washroom
611,Turn up the washroom temperature,increase,heat,washroom
612,Get me my socks,bring,socks,none
613,Turn off the lights in the bedroom,deactivate,lights,bedroom
614,Turn the heat up in the washroom,increase,heat,washroom
615,Turn the kitchen temperature down,decrease,heat,kitchen
616,Switch on the lights,activate,lights,none
617,Bathroom lights on,activate,lights,washroom
618,Turn down the washroom temperature,decrease,heat,washroom
619,Turn up the heat in the kitchen,increase,heat,kitchen
620,I need to practice my Chinese. Switch the language,change language,Chinese,none
621,Lights off in the bedroom,deactivate,lights,bedroom
622,Turn down the heat in the bathroom,decrease,heat,washroom
623,Fetch my shoes,bring,shoes,none
624,Play the music,activate,music,none
625,Set the language,change language,none,none
626,Reduce audio volume,decrease,volume,none
627,Turn the temperature down in the bathroom,decrease,heat,washroom
628,Increase the temperature in the bathroom,increase,heat,washroom
629,Pause,deactivate,music,none
630,Could you increase the heating please?,increase,heat,none
631,Play the music,activate,music,none
632,Bring me my shoes,bring,shoes,none
633,Turn the temperature in the bedroom down,decrease,heat,bedroom
634,Turn the lamp off,deactivate,lamp,none
635,Decrease sound levels,decrease,volume,none
636,Switch on the lamp,activate,lamp,none
637,Bring juice,bring,juice,none
638,Turn down the heat,decrease,heat,none
639,Increase the heating in the kitchen,increase,heat,kitchen
640,Turn up the washroom temperature,increase,heat,washroom
641,Bring me the newspaper,bring,newspaper,none
642,Turn down the volume,decrease,volume,none
643,Lights off in the washroom,deactivate,lights,washroom
644,Turn the heat down in the kitchen,decrease,heat,kitchen
645,Go get me my shoes,bring,shoes,none
646,Turn up the heat,increase,heat,none
647,Turn the bedroom heat down,decrease,heat,bedroom
648,That's too quiet,increase,volume,none
649,Turn the temperature up in the washroom,increase,heat,washroom
650,Turn the volume down,decrease,volume,none
